type,client,tx,amount
deposit,1,1,1.0
deposit,1,2,1.0
deposit,1,3,1.0
deposit,1,4,1.0
deposit,1,5,1.0
deposit,1,6,1.0
deposit,1,7,1.0
deposit,1,8,1.0
deposit,1,9,1.0
deposit,1,10,1.0
deposit,1,11,1.0
deposit,1,12,1.0
deposit,1,13,1.0
deposit,1,14,1.0
deposit,1,15,1.0
deposit,1,16,1.0
deposit,1,17,1.0
deposit,1,18,1.0
deposit,1,19,1.0
deposit,1,20,1.0
deposit,1,21,1.0
deposit,1,22,1.0
deposit,1,23,1.0
deposit,1,24,1.0
deposit,1,25,1.0
deposit,1,26,1.0
deposit,1,27,1.0
deposit,1,28,1.0
deposit,1,29,1.0
deposit,1,30,1.0
deposit,1,31,1.0
deposit,1,32,1.0
deposit,1,33,1.0
deposit,1,34,1.0
deposit,1,35,1.0
deposit,1,36,1.0
deposit,1,37,1.0
deposit,1,38,1.0
deposit,1,39,1.0
deposit,1,40,1.0
deposit,1,41,1.0
deposit,1,42,1.0
deposit,1,43,1.0
deposit,1,44,1.0
deposit,1,45,1.0
deposit,1,46,1.0
deposit,1,47,1.0
deposit,1,48,1.0
deposit,1,49,1.0
deposit,1,50,1.0
deposit,1,51,1.0
deposit,1,52,1.0
deposit,1,53,1.0
deposit,1,54,1.0
deposit,1,55,1.0
deposit,1,56,1.0
deposit,1,57,1.0
deposit,1,58,1.0
deposit,1,59,1.0
deposit,1,60,1.0
deposit,1,61,1.0
deposit,1,62,1.0
deposit,1,63,1.0
deposit,1,64,1.0
deposit,1,65,1.0
deposit,1,66,1.0
deposit,1,67,1.0
deposit,1,68,1.0
deposit,1,69,1.0
deposit,1,70,1.0
deposit,1,71,1.0
deposit,1,72,1.0
deposit,1,73,1.0
deposit,1,74,1.0
deposit,1,75,1.0
deposit,1,76,1.0
deposit,1,77,1.0
deposit,1,78,1.0
deposit,1,79,1.0
deposit,1,80,1.0
deposit,1,81,1.0
deposit,1,82,1.0
deposit,1,83,1.0
deposit,1,84,1.0
deposit,1,85,1.0
deposit,1,86,1.0
deposit,1,87,1.0
deposit,1,88,1.0
deposit,1,89,1.0
deposit,1,90,1.0
deposit,1,91,1.0
deposit,1,92,1.0
deposit,1,93,1.0
deposit,1,94,1.0
deposit,1,95,1.0
deposit,1,96,1.0
deposit,1,97,1.0
deposit,1,98,1.0
deposit,1,99,1.0
deposit,1,100,1.0
deposit,1,101,1.0
deposit,1,102,1.0
deposit,1,103,1.0
deposit,1,104,1.0
deposit,1,105,1.0
deposit,1,106,1.0
deposit,1,107,1.0
deposit,1,108,1.0
deposit,1,109,1.0
deposit,1,110,1.0
deposit,1,111,1.0
deposit,1,112,1.0
deposit,1,113,1.0
deposit,1,114,1.0
deposit,1,115,1.0
deposit,1,116,1.0
deposit,1,117,1.0
deposit,1,118,1.0
deposit,1,119,1.0
deposit,1,120,1.0
deposit,1,121,1.0
deposit,1,122,1.0
deposit,1,123,1.0
deposit,1,124,1.0
deposit,1,125,1.0
deposit,1,126,1.0
deposit,1,127,1.0
deposit,1,128,1.0
deposit,1,129,1.0
deposit,1,130,1.0
deposit,1,131,1.0
deposit,1,132,1.0
deposit,1,133,1.0
deposit,1,134,1.0
deposit,1,135,1.0
deposit,1,136,1.0
deposit,1,137,1.0
deposit,1,138,1.0
deposit,1,139,1.0
deposit,1,140,1.0
deposit,1,141,1.0
deposit,1,142,1.0
deposit,1,143,1.0
deposit,1,144,1.0
deposit,1,145,1.0
deposit,1,146,1.0
deposit,1,147,1.0
deposit,1,148,1.0
deposit,1,149,1.0
deposit,1,150,1.0
deposit,1,151,1.0
deposit,1,152,1.0
deposit,1,153,1.0
deposit,1,154,1.0
deposit,1,155,1.0
deposit,1,156,1.0
deposit,1,157,1.0
deposit,1,158,1.0
deposit,1,159,1.0
deposit,1,160,1.0
deposit,1,161,1.0
deposit,1,162,1.0
deposit,1,163,1.0
deposit,1,164,1.0
deposit,1,165,1.0
deposit,1,166,1.0
deposit,1,167,1.0
deposit,1,168,1.0
deposit,1,169,1.0
deposit,1,170,1.0
deposit,1,171,1.0
deposit,1,172,1.0
deposit,1,173,1.0
deposit,1,174,1.0
deposit,1,175,1.0
deposit,1,176,1.0
deposit,1,177,1.0
deposit,1,178,1.0
deposit,1,179,1.0
deposit,1,180,1.0
deposit,1,181,1.0
deposit,1,182,1.0
deposit,1,183,1.0
deposit,1,184,1.0
deposit,1,185,1.0
deposit,1,186,1.0
deposit,1,187,1.0
deposit,1,188,1.0
deposit,1,189,1.0
deposit,1,190,1.0
deposit,1,191,1.0
deposit,1,192,1.0
deposit,1,193,1.0
deposit,1,194,1.0
deposit,1,195,1.0
deposit,1,196,1.0
deposit,1,197,1.0
deposit,1,198,1.0
deposit,1,199,1.0
deposit,1,200,1.0
deposit,1,201,1.0
deposit,1,202,1.0
deposit,1,203,1.0
deposit,1,204,1.0
deposit,1,205,1.0
deposit,1,206,1.0
deposit,1,207,1.0
deposit,1,208,1.0
deposit,1,209,1.0
deposit,1,210,1.0
deposit,1,211,1.0
deposit,1,212,1.0
deposit,1,213,1.0
deposit,1,214,1.0
deposit,1,215,1.0
deposit,1,216,1.0
deposit,1,217,1.0
deposit,1,218,1.0
deposit,1,219,1.0
deposit,1,220,1.0
deposit,1,221,1.0
deposit,1,222,1.0
deposit,1,223,1.0
deposit,1,224,1.0
deposit,1,225,1.0
deposit,1,226,1.0
deposit,1,227,1.0
deposit,1,228,1.0
deposit,1,229,1.0
deposit,1,230,1.0
deposit,1,231,1.0
deposit,1,232,1.0
deposit,1,233,1.0
deposit,1,234,1.0
deposit,1,235,1.0
deposit,1,236,1.0
deposit,1,237,1.0
deposit,1,238,1.0
deposit,1,239,1.0
deposit,1,240,1.0
deposit,1,241,1.0
deposit,1,242,1.0
deposit,1,243,1.0
deposit,1,244,1.0
deposit,1,245,1.0
deposit,1,246,1.0
deposit,1,247,1.0
deposit,1,248,1.0
deposit,1,249,1.0
deposit,1,250,1.0
deposit,1,251,1.0
deposit,1,252,1.0
deposit,1,253,1.0
